Data;Dare;Avere;Note;Data Valuta
01/01/2024;1123,50 €;0,00;Incasso Pos 0;
01/01/2024;1655,50 €;0,00;Incasso Pos 1;
01/01/2024;1565,50 €;0,00;Incasso Pos 2;
02/01/2024;723,50 €;0,00;Incasso Pos 3;
02/01/2024;1894,50 €;0,00;Incasso Pos 4;
02/01/2024;720,50 €;0,00;Incasso Pos 5;
03/01/2024;871,50 €;0,00;Incasso Pos 6;
03/01/2024;1750,50 €;0,00;Incasso Pos 7;
03/01/2024;1556,50 €;0,00;Incasso Pos 8;
04/01/2024;867,50 €;0,00;Incasso Pos 9;
04/01/2024;1216,50 €;0,00;Incasso Pos 10;
04/01/2024;1740,50 €;0,00;Incasso Pos 11;
05/01/2024;1125,50 €;0,00;Incasso Pos 12;
05/01/2024;890,50 €;0,00;Incasso Pos 13;
05/01/2024;807,50 €;0,00;Incasso Pos 14;
06/01/2024;544,50 €;0,00;Incasso Pos 15;
06/01/2024;1263,50 €;0,00;Incasso Pos 16;
06/01/2024;1397,50 €;0,00;Incasso Pos 17;
07/01/2024;857,50 €;0,00;Incasso Pos 18;
07/01/2024;1816,50 €;0,00;Incasso Pos 19;
07/01/2024;1739,50 €;0,00;Incasso Pos 20;
08/01/2024;918,50 €;0,00;Incasso Pos 21;
08/01/2024;1587,50 €;0,00;Incasso Pos 22;
08/01/2024;1871,50 €;0,00;Incasso Pos 23;
09/01/2024;1044,50 €;0,00;Incasso Pos 24;
09/01/2024;1434,50 €;0,00;Incasso Pos 25;
09/01/2024;1304,50 €;0,00;Incasso Pos 26;
10/01/2024;1791,50 €;0,00;Incasso Pos 27;
10/01/2024;1980,50 €;0,00;Incasso Pos 28;
10/01/2024;849,50 €;0,00;Incasso Pos 29;
03/01/2024;0,00;7683,00;Versamento Bancario 0;04/01/2024
05/01/2024;0,00;8003,00;Versamento Bancario 1;06/01/2024
07/01/2024;0,00;6029,00;Versamento Bancario 2;08/01/2024
09/01/2024;0,00;8791,00;Versamento Bancario 3;10/01/2024
11/01/2024;0,00;8405,00;Versamento Bancario 4;12/01/2024
